Species;Family;Region;Continent;Realm;First_Observation;IntentionalRelease;Latest_Reference;Latest_Reference_Year
Anatrachyntis simplex;Cosmopterigidae;Cyprus;Asia;Saharo-Arabian;2010;0;Demetriou, J., et al. (2023). The Alien to Cyprus Entomofauna (ACE) database: a review of the current status of alien insects (Arthropoda, Insecta) including an updated species checklist, discussion on impacts and recommendations for informing management. NeoBiota. 83: 11-42;2023
Anatrachyntis simplex;Cosmopterigidae;Spain;Europe;Palearctic;2002;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Anatrachyntis simplex;Cosmopterigidae;United Kingdom;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Anatrachyntis simplex;Cosmopterigidae;Portugal;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Anchoscelis lunosa;Noctuidae;United States;North America;Nearctic;2015;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Ancylis comptana;Tortricidae;United States;North America;Nearctic;;0;Yamanaka, T., et al. (2015). Comparison of insect invasions in North America, Japan and their Islands. Biological Invasions. 17(10): 3049-3061;2015
Ancylis impatiens;Tortricidae;Hawaii;Oceania;Nearctic;;1;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Ancylostomia stercorea;Crambidae;Galapagos;South America;Neotropical;1989;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Anisoplaca cosmia;Gelechiidae;New Zealand;Oceania;Australian;1975;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Anomis erosa;Erebidae;France;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Anomis flava;Erebidae;Australia;Australia;Australian;;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Anomis flava;Erebidae;Israel;Asia;Saharo-Arabian;2001;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Anomis flava;Erebidae;Palau;Oceania;Oceanina;;0;Shine, C., et al. (2003). Invasive alien species in the Austral Pacific Region: National Reports and Directory of Resources. Global Invasive Species Programme, Cape Town, South Africa.;2003
Anomis flava;Erebidae;Hawaii;Oceania;Nearctic;1964;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Anomis luridula;Erebidae;United States;North America;Nearctic;1989;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Anomis privata;Erebidae;United States;North America;Nearctic;1954;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Anomis sabulifera;Erebidae;Israel;Asia;Saharo-Arabian;2001;0;Kravchenko, V.,et al. (2014). Seven invasive owlet moths (Lepidoptera: Noctuidae) in Israel and their potential parasitoids (Hymenoptera: Chalcidoidea). Phytoparasitica. 42: 333-339;2014
Anstenoptilia marmarodactyla;Pterophoridae;Hawaii;Oceania;Nearctic;1907;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Antheraea paphia;Saturniidae;Denmark;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Antheraea pernyi;Saturniidae;Spain;Europe;Palearctic;1850;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Antheraea pernyi;Saturniidae;Spanish European Islands;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Antheraea pernyi;Saturniidae;France;Europe;Palearctic;1855;0;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Antheraea pernyi;Saturniidae;Hungary;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Antheraea pernyi;Saturniidae;Japan;Asia;Sino-Japanese;1875;0;Peigler, R. (2012). Diverse evidence that Antheraea pernyi (lepidoptera: Saturniidae) is entirely of sericultural origin. Tropical Lepidoptera Research. 22: 93-99;2012
Antheraea pernyi;Saturniidae;South Korea;Asia;Palearctic;1938;0;Peigler, R. (2012). Diverse evidence that Antheraea pernyi (lepidoptera: Saturniidae) is entirely of sericultural origin. Tropical Lepidoptera Research. 22: 93-99;2012
Antheraea pernyi;Saturniidae;Slovenia;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Antheraea polyphemus;Saturniidae;Denmark;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Antheraea yamamai;Saturniidae;Austria;Europe;Palearctic;1900;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Antheraea yamamai;Saturniidae;Bosnia and Herzegovina;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Antheraea yamamai;Saturniidae;Germany;Europe;Palearctic;2001;0;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Antheraea yamamai;Saturniidae;Croatia;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Antheraea yamamai;Saturniidae;Hungary;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Antheraea yamamai;Saturniidae;Italy;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Antheraea yamamai;Saturniidae;North Macedonia;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Antheraea yamamai;Saturniidae;Romania;Europe;Palearctic;2001;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Antheraea yamamai;Saturniidae;Serbia;Europe;Palearctic;;0;Pullaiah, T., Ielmini, M.R. (Eds.) (2021). Invasive Alien Species: Observations and Issues from Around the World. Volume 3: Issues and Invasions in Europe. Wiley. 326pp.;2021
Antheraea yamamai;Saturniidae;Slovenia;Europe;Palearctic;1866;0;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Anthophila nemorana;Choreutidae;Austria;Europe;Palearctic;2006;0;de Prins, W., et al. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;2014
Anthophila nemorana;Choreutidae;Belgium;Europe;Palearctic;2009;0;de Prins, W., et al. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;2014
Anthophila nemorana;Choreutidae;Switzerland;Europe;Palearctic;2008;0;de Prins, W., et al. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;2014
Anthophila nemorana;Choreutidae;Germany;Europe;Palearctic;2006;0;de Prins, W., et al. (2014). Choreutis nemorana (Lepidoptera: Choreutidae) well established in Belgium. Phegea. 42(2): 29-32;2014
Anthophila nemorana;Choreutidae;Netherlands;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Antiblemma acclinalis;Erebidae;Hawaii;Oceania;Nearctic;;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Anticarsia gemmatalis;Erebidae;United States;North America;Nearctic;1903;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Antichloris eriphia;Erebidae;Ireland;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Antichloris steinbachi;Erebidae;Ireland;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Antichloris viridis;Erebidae;Denmark;Europe;Palearctic;1934;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Antichloris viridis;Erebidae;Sweden;Europe;Palearctic;1950;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Antigastra catalaunalis;Crambidae;Australia;Australia;Australian;;;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Antigastra catalaunalis;Crambidae;Cyprus;Asia;Palearctic;;0;Sarazu-Pillado, R., et al. (2020). Primer Reporte del Gusano Telaranero en Ajonjoli en el Norte de Sinaloa, Mexico. Southwestern Entomologist. 45(2): 575-578;2020
Antigastra catalaunalis;Crambidae;Spain;Europe;Palearctic;;0;Sarazu-Pillado, R., et al. (2020). Primer Reporte del Gusano Telaranero en Ajonjoli en el Norte de Sinaloa, Mexico. Southwestern Entomologist. 45(2): 575-578;2020
Antigastra catalaunalis;Crambidae;France;Europe;Palearctic;;0;Sarazu-Pillado, R., et al. (2020). Primer Reporte del Gusano Telaranero en Ajonjoli en el Norte de Sinaloa, Mexico. Southwestern Entomologist. 45(2): 575-578;2020
Antigastra catalaunalis;Crambidae;Greece;Europe;Palearctic;;0;Sarazu-Pillado, R., et al. (2020). Primer Reporte del Gusano Telaranero en Ajonjoli en el Norte de Sinaloa, Mexico. Southwestern Entomologist. 45(2): 575-578;2020
Antigastra catalaunalis;Crambidae;Italy;Europe;Palearctic;;0;Sarazu-Pillado, R., et al. (2020). Primer Reporte del Gusano Telaranero en Ajonjoli en el Norte de Sinaloa, Mexico. Southwestern Entomologist. 45(2): 575-578;2020
Antigastra catalaunalis;Crambidae;Mexico;North America;Nearctic;2010;0;Sarazu-Pillado, R., et al. (2020). Primer Reporte del Gusano Telaranero en Ajonjoli en el Norte de Sinaloa, Mexico. Southwestern Entomologist. 45(2): 575-578;2020
Antigastra catalaunalis;Crambidae;Malta;Europe;Palearctic;;0;Sarazu-Pillado, R., et al. (2020). Primer Reporte del Gusano Telaranero en Ajonjoli en el Norte de Sinaloa, Mexico. Southwestern Entomologist. 45(2): 575-578;2020
Antispila oinophylla;Heliozelidae;Italy;Europe;Palearctic;2006;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Anypsipyla univitella;Pyralidae;United States;North America;Nearctic;1983;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Apamea crenata;Noctuidae;Iceland;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Apamea remissa;Noctuidae;Iceland;Europe;Palearctic;2001;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Apamea unanimis;Noctuidae;United States;North America;Nearctic;1991;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Aphnaeus schistacea;Lycaenidae;United Kingdom;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Aphrissa orbis;Pieridae;United States;North America;Nearctic;1973;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Aplocera efformata;Geometridae;Australia;Australia;Australian;;;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Aplocera plagiata;Geometridae;Australia;Australia;Australian;;;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Apomyelois ceratoniae;Pyralidae;Argentina;South America;Neotropical;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Apomyelois ceratoniae;Pyralidae;Australia;Australia;Australian;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Apomyelois ceratoniae;Pyralidae;Austria;Europe;Palearctic;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
